Interactie,Interactors,MI
A1CF,ABCB8,0.08590221
A1CF,ACTBL2,0.08025668
A1CF,ACVR2B,0.09057609
A1CF,ADAMTSL1,0.2061494
A1CF,ADM,0.12514037
A1CF,ANKRD44,0.22563548
A1CF,APBB2,0.19670927
A1CF,APOL3,0.07994476
A1CF,ARMC8,0.07994476
A1CF,ASB8,0.08590221
A1CF,ATN1,0.08590221
A1CF,BRF1,0.12684889
A1CF,BTG2,0.10450354
A1CF,C9orf72,0.08590221
A1CF,CAMK2A,0.21582629
A1CF,CBX6,0.09057609
A1CF,CD8A,0.12183497
A1CF,COLCA1,0.18778519
A1CF,CORO1A,0.08590221
A1CF,CRLS1,0.07994476
A1CF,CX3CL1,0.17756414
A1CF,CYFIP2,0.08815181
A1CF,EDC4,0.08590221
A1CF,EPHB1,0.10450354
A1CF,EPM2AIP1,0.0921589
A1CF,FAM161B,0.08590221
A1CF,FER,0.08254276
A1CF,FJX1,0.15795847
A1CF,GLUD1,0.08595599
A1CF,HAUS5,0.17756414
A1CF,ICAM4,0.1191461
A1CF,INPP5D,0.08254526
A1CF,IP6K1,0.12514037
A1CF,IPPK,0.09219639
A1CF,JAZF1,0.12492348
A1CF,KCNS3,0.17756414
A1CF,KCTD15,0.08254276
A1CF,KDM4B,0.12492348
A1CF,KIAA0586,0.12217771
A1CF,LCMT2,0.2541504
A1CF,LDB3,0.08590221
A1CF,MAFG,0.09600695
A1CF,NEO1,0.17084997
A1CF,P2RX2,0.0921589
A1CF,PXDC1,0.10344802
A1CF,RCHY1,0.1043187
A1CF,RELL2,0.11041635
A1CF,RND2,0.10450354
A1CF,RRNAD1,0.19670927
A1CF,SAV1,0.19680787
A1CF,SCARA5,0.08590221
A1CF,SERPINE1,0.16727492
A1CF,SH3GLB2,0.19670927
A1CF,SHANK2,0.10450354
A1CF,SHPRH,0.11041635
A1CF,SHTN1,0.08025668
A1CF,SLC34A1,0.09219639
A1CF,SLC7A1,0.20199846
A1CF,SMCO4,0.08815181
A1CF,SMYD4,0.09600695
A1CF,SRBD1,0.18293891
A1CF,SRC,0.09219639
A1CF,SUSD6,0.07994476
A1CF,TACC2,0.15085087
A1CF,TLR4,0.09219639
A1CF,TMEM2,0.08025668
A1CF,TMEM25,0.12684889
A1CF,TNC,0.09057609
A1CF,TPD52,0.16727492
A1CF,TPD52,0.14574834
A1CF,TRIM10,0.14197354
A1CF,VSTM1,0.12492348
A1CF,VWA5A,0.12514037
A1CF,WBSCR17,0.1375739
A1CF,WIZ,0.1375739
A1CF,ZFYVE27,0.16873057
A1CF,ZNF181,0.1260778
A1CF,ZNF33A,0.09219639
A1CF,ZNF436,0.12183497
A1CF,ZNF516,0.09600695
A1CF,ZNF560,0.08590221
ABCA5,ABCC8,0.10344802
ABCA5,ABCD4,0.17084997
ABCA5,ABHD17C,0.14574834
ABCA5,ACSS3,0.12217771
ABCA5,AKT1S1,0.1043187
ABCA5,AMOTL2,0.12492348
ABCA5,AMT,0.23486881
ABCA5,AMT,0.07994476
ABCA5,ARMC8,0.11751387
ABCA5,BRF1,0.14197354
ABCA5,BTG2,0.12866719
ABCA5,CASTOR2,0.11041635
ABCA5,CCDC90B,0.07994476
ABCA5,CCNJL,0.12514037
ABCA5,COL7A1,0.1260778
ABCA5,CPEB3,0.09600695
ABCA5,CXCR1,0.07994476
ABCA5,DCDC2,0.2541504
ABCA5,DRD3,0.2541504
ABCA5,DSCC1,0.0921589
ABCA5,EDAR,0.14197354
ABCA5,ENPP3,0.09219639
ABCA5,EPB41L3,0.14574834
ABCA5,EPHB1,0.0921589
